"EVENT_ID","POT_ID","YEAR","SITE_ID","STATION","FK_GEAR_PERFORMANCE_CODE","POT_TYPE_CODE","GEAR_COMMENTS","SAMPLE_POT","COMMENTS","ID","OLDID","Pot_Count","Stratum"
"1992P04009","5","1992","3","A","01","K",,"Sample","",,"92093",1,
"1992P04009","6","1992","3","A","01","K",,"Sample","",,"92094",1,
"1992P04009","7","1992","3","A","01","K",,"Sample","",,"92095",1,
"1992P04009","8","1992","3","A","01","K",,"Sample","",,"92096",1,
"1992P04009","9","1992","3","A","01","K",,"Sample","",,"92097",1,
"1992P04010","1","1992","3","B","01","K",,"Sample","",,"92100",1,
"1992P04010","10","1992","3","B","01","K",,"Sample","",,"92109",1,
"1992P04010","11","1992","3","B","01","K",,"Sample","",,"92110",1,
"1992P04010","2","1992","3","B","01","K",,"Sample","",,"92101",1,
"1992P04010","3","1992","3","B","01","K",,"Sample","",,"92102",1,
"1992P04010","4","1992","3","B","01","K",,"Sample","",,"92103",1,
"1992P04010","5","1992","3","B","01","K",,"Sample","",,"92104",1,
"1992P04010","6","1992","3","B","01","K",,"Sample","",,"92105",1,
"1992P04010","7","1992","3","B","01","K",,"Sample","",,"92106",1,
"1992P04010","8","1992","3","B","01","K",,"Sample","",,"92107",1,
"1992P04010","9","1992","3","B","01","K",,"Sample","",,"92108",1,
"1992P04011","1","1992","3","C","01","K",,"Sample","",,"92111",1,
"1992P04011","10","1992","3","C","01","K",,"Sample","",,"92120",1,
"1992P04011","11","1992","3","C","01","K",,"Sample","",,"92121",1,
"1992P04011","2","1992","3","C","01","K",,"Sample","",,"92112",1,
"1992P04011","3","1992","3","C","01","K",,"Sample","",,"92113",1,
"1992P04011","4","1992","3","C","01","K",,"Sample","",,"92114",1,
"1992P04011","5","1992","3","C","01","K",,"Sample","",,"92115",1,
"1992P04011","6","1992","3","C","01","K",,"Sample","",,"92116",1,
"1992P04011","7","1992","3","C","01","K",,"Sample","",,"92117",1,
"1992P04011","8","1992","3","C","01","K",,"Sample","",,"92118",1,
"1992P04011","9","1992","3","C","01","K",,"Sample","",,"92119",1,
"1992P04012","1","1992","3","D","01","K",,"Sample","",,"92122",1,
"1992P04012","10","1992","3","D","01","K",,"Sample","",,"92131",1,
"1992P04012","11","1992","3","D","01","K",,"Sample","",,"92132",1,
"1992P04012","2","1992","3","D","01","K",,"Sample","",,"92123",1,
"1992P04012","3","1992","3","D","01","K",,"Sample","",,"92124",1,
"1992P04012","4","1992","3","D","20","K","T","Sample","",,"92125",1,
"1992P04012","5","1992","3","D","01","K",,"Sample","",,"92126",1,
"1992P04012","6","1992","3","D","01","K",,"Sample","",,"92127",1,
"1992P04012","7","1992","3","D","01","K",,"Sample","",,"92128",1,
"1992P04012","8","1992","3","D","01","K",,"Sample","",,"92129",1,
"1992P04012","9","1992","3","D","01","K",,"Sample","",,"92130",1,
"1992P04013","1","1992","4","A","01","K",,"Sample","",,"92133",1,
"1992P04013","10","1992","4","A","01","K",,"Sample","",,"92142",1,
"1992P04013","11","1992","4","A","01","K",,"Sample","",,"92143",1,
"1992P04013","2","1992","4","A","01","K",,"Sample","",,"92134",1,
"1992P04013","3","1992","4","A","01","K",,"Sample","",,"92135",1,
"1992P04013","4","1992","4","A","01","K",,"Sample","",,"92136",1,
"1992P04013","5","1992","4","A","01","K",,"Sample","",,"92137",1,
"1992P04013","6","1992","4","A","01","K",,"Sample","",,"92138",1,
"1992P04013","7","1992","4","A","01","K",,"Sample","",,"92139",1,
"1992P04013","8","1992","4","A","01","K",,"Sample","",,"92140",1,
"1992P04013","9","1992","4","A","01","K",,"Sample","",,"92141",1,
"1992P04014","1","1992","4","B","01","K",,"Sample","",,"92144",1,
"1992P04014","10","1992","4","B","01","K",,"Sample","",,"92153",1,
"1992P04014","11","1992","4","B","01","K",,"Sample","",,"92154",1,
"1992P04014","2","1992","4","B","01","K",,"Sample","",,"92145",1,
"1992P04014","3","1992","4","B","01","K",,"Sample","",,"92146",1,
"1992P04014","4","1992","4","B","01","K",,"Sample","",,"92147",1,
"1992P04014","5","1992","4","B","01","K",,"Sample","",,"92148",1,
